"Model","Type","num_layers","d_model","d_ff","num_heads","vocab_size","max_seq_length","Total Params","Model Size (GB) FP32","Sequence Length","Batch Size","din","dout"
"<10B Models","","","","","","","","","","","","",""
"GPT-Neo 2.7B","Decoder","32*","2,560","10,240","32*","50,257","2,048","2.7B","10.8","2,048","16","2,560","2,560"
"10B-100B Models","","","","","","","","","","","","",""
"OPT-13B","Decoder","40","5,120","20,480","40","50,272","2,048","13B","52.0","2,048","8","5,120","5,120"
"GPT-NeoX-20B","Decoder","44*","6,144","24,576","64","50,257","2,048","20B","80.0","2,048","4","6,144","6,144"
"FLAN-T5-XXL","Encoder-Decoder","24/24","4,096","10,240","64","32,128","512","11B","44.0","512","16","4,096","4,096"
">400B Models","","","","","","","","","","","","",""
"PaLM 540B","Decoder","118*","18,432","73,728","72*","256,000*","8,192*","540B","2,160","8,192","1","18,432","18,432"
"GPT-4 (Estimated)","Decoder","128*","20,480","81,920","128*","100,256*","8,192","1.8T","7,200","8,192","1","20,480","20,480"

Generated with the help of preplixity.
